분류,기존 파일명,새 파일명
effect,b3ed139de59014f266713886.webp,강화 불가.webp
effect,57ede9fdbd16eeb32adfd8a6.webp,격동.webp
effect,de6c32fbaa98d901809a22e5.webp,고립.webp
effect,c241e9dde466d21bed9b15be.webp,공격력 감소.webp
effect,69d0d25769061a2e97a0c27a.webp,공격력 증가.webp
effect,1901a2b2de3c47841dde37c1.webp,기절.webp
effect,11466e47e450f836e611145d.webp,깨어나는 기억(해제불가).webp
effect,aa401a49d7f9d7544ff4095c.webp,냉각.webp
effect,2b091183a3cb85379944b78f.webp,도발.webp
effect,e77a765ab0340c980d5a9f28.webp,도약.webp
effect,36e6f856a6ad03ef047f0a13.webp,뒤엉킨 꿈결.webp
effect,02f5a9916f4e106f5af7767a.webp,럭키 토큰(해제불가).webp
effect,11d427ba80be65da52730b87.webp,면역.webp
effect,48fd79a5a80357675c0d6f87.webp,명월(해제불가).webp
effect,77a341b9bc1fe4e5b8dc0865.webp,명중률 감소.webp
effect,97eaffd075aec21c100370b9.webp,모나스티르의 규율.webp
effect,8e4081075e6379ef58e63a97.webp,물폭탄.webp
effect,ccb95132dad03d81e67fac4a.webp,미지의 주문.webp
effect,57fd4c82db2aba2c75f3cf2d.webp,방어력 감소.webp
effect,1b432b4bab34ed4e5715064f.webp,방어력 증가.webp
effect,026c4c6214d285e9b89a4ae8.webp,별빛 소망(해제불가).webp
effect,1ec58624a5b6e9fbdaeda095.webp,보호막.webp
effect,4d36e7e1e6b573d2af3832c8.webp,복수심(해제불가).webp
effect,부서진너트.webp,부서진 너트.webp
effect,d218e3f63fd5fccee222f520.webp,불사.webp
effect,eebbc749a48fe6cda72f0613.webp,빙결.webp
effect,be4439903a4db972b24e7ddd.webp,사랑의 서약(해제불가).webp
effect,a1659afd2cadc3065f1b8802.webp,상급 공격력 증가.webp
effect,23d5842d3c35133928e0b462.webp,서부의 바람.webp
effect,6c9ede0c15c557d0832d70c9.webp,성스러운 가호.webp
effect,8a90322937361e088b7bda89.webp,세븐볼(해제불가).webp
effect,9dd7faae4ccff0b67187359d.webp,속도 감소.webp
effect,0ceec7ff138f53230fc96b3b.webp,속도 증가.webp
effect,31d6711254baef334edb06c9.webp,속박.webp
effect,1fc74fc982dae69cfc8d94ce.webp,수호.webp
effect,1a311b81a03f49b304f1b7ac.webp,스마일 매트릭스(해제불가).webp
effect,a1506494b0c259efec4fb19b.webp,스킬 피해 무효.webp
effect,a9a04795d20034759e09fbdb.webp,스파클라(해제불가).webp
effect,40dee3fabce6fcefb6cf628a.webp,업화(해제불가).webp
effect,4f8a1c4388b3e834ed3fb6a3.webp,연소.webp
effect,1135c98f18681da4a592282c.webp,영몽의 빛.webp
effect,5c66522e529a13202131dcc1.webp,옥좌의 주인(해제불가).webp
effect,5b8f6ce38bf9a08fe478edfd.webp,워터 프루프 선크림.webp
effect,c0bbe81b44b4c02fa46892cb.webp,은신.webp
effect,c09ad34a26bb26a19ee94da1.webp,잭팟 블룸.webp
effect,eb851f4caa1214c023e034f4.webp,점화.webp
effect,a7a76f1d596124679fcb42a9.webp,참극의 가시(해제불가).webp
effect,0e534ba8bb0211eceffc02d1.webp,철거 모드.webp
effect,719feaec7b0f49da869739e3.webp,청풍(해제불가).webp
effect,15f6c9c23abf60f6912a7078.webp,출혈.webp
effect,a96c081fd43605e9f6c99dd0.webp,치명타 피해 증가.webp
effect,89470e7162652497eef4da16.webp,치명타 확률 증가.webp
effect,e7d96a30c68140e4c8980b35.webp,칠흑의 잔향(해제불가).webp
effect,f4a94e3b89bcd4943e1e086d.webp,침묵.webp
effect,295d15f0a6d5c8e22712e5e2.webp,토끼씨의 수사 자문.webp
effect,58d6fbbca05ee444c6e31079.webp,통찰.webp
effect,ae42548bacbc5aaf4713b013.webp,파쇄.webp
effect,c0f7ac5f5a84262df366d0ab.webp,파워업 스타.webp
effect,6a2d71be49207746303560e9.webp,파프닐의 강림(해제불가).webp
effect,86c6df99a3e50e93b1151844.webp,폭주 모드(해제불가).webp
effect,3e544e2e4b26886a57a757cf.webp,필중.webp
effect,9b0199f557c9224a069fb4c8.webp,하이 롤러(해제불가).webp
effect,헥사너트.webp,헥사 너트.webp
effect,fffcef7120650e5277b3f823.webp,회복 감소.webp
effect,e2dbfd9782754dfe86c536f4.webp,회복.webp
effect,d83b44748c1989fe9cd77ab5.webp,회피율 증가.webp
effect,9ccfb5eb5c1e7026699c8cdc.webp,효과 적중 증가.webp
illustration,532f902f797021b2d564c546.webp,(궤도 수색대) 나루 일러스트.webp
illustration,5b91df1487eed27ef25a3080.webp,(궤도 수색대) 로베르타 일러스트.webp
illustration,554a49c45978079f14910133.webp,(궤도 수색대) 루그 일러스트.webp
illustration,1253040607d911520e5a2cd9.webp,(나이트메어) 세이라 일러스트.webp
illustration,99a63c5c8bcdabb5f5f3ecdf.webp,(노블 프린세스) 프레이 일러스트.webp
illustration,7ac1e99f206cefff72c2ae2a.webp,(노아 마을 경비대) 안나 일러스트.webp
illustration,5bf35ee52351c1ab6978b106.webp,(람파디스) 릴리 일러스트.webp
illustration,bc9c6ea4b34df07b65600691.webp,(리틀 타이런트) 스칼렛 일러스트.webp
illustration,be5768dda2c95ae6a785c291.webp,(모나스티르 기사단) 샤를 일러스트.webp
illustration,89dfb24511073fa40bb28485.webp,(모나스티르 기사단) 카르멘 일러스트.webp
illustration,06d3b31bdacb2ec83dc1f2fd.webp,(모나스티르 기사단) 프레이 일러스트.webp
illustration,a18d95bec33ea53543018816.webp,(모노리스 교단) 뮤리엘 일러스트.webp
illustration,283709dbcbfec31b4cf12d1c.webp,(모노리스 교단) 엘리사 일러스트.webp
illustration,fbf18dc99c5e095fe5df568c.webp,(모렐 해양상단) 에데 일러스트.webp
illustration,d1097261dd1d62c5c77a17af.webp,(모렐해운상회) 크리스텔 일러스트.webp
illustration,36db79a2f50ea051b310219f.webp,(방랑자) 레이시 일러스트.webp
illustration,508741154a81f4d364717806.webp,(방랑자) 카넬리아 일러스트.webp
illustration,7d80c88486b906ea6c33bd2f.webp,(방랑자) 페이 일러스트.webp
illustration,8d298fa9f704edb1bc8f745e.webp,(보이저 구원단) 루나 일러스트.webp
illustration,18a1952ba5ec3a15fb5037eb.webp,(보이저 구원단) 스마일 일러스트.webp
illustration,a44f7230b39b982550cd38d5.webp,(보이저 구원단) 아세라 일러스트.webp
illustration,7c082f40e55fd6f05b592924.webp,(보이저 구원단) 오메가 일러스트.webp
illustration,bb91244307490bf3dfb3c5e7.webp,(블레싱 인 블룸) 에핀델 일러스트.webp
illustration,36c708a64cef1ced32859261.webp,(서부 해방군) 리디아 일러스트.webp
illustration,5bac5f77f4de5c791aace704.webp,(서부 해방군) 베스타 일러스트.webp
illustration,4426b095a52349351a5af610.webp,(서부 해방군) 세레스 일러스트.webp
illustration,12feb8a1758318dc2c3ba8a1.webp,(선샤인 캣) 스마일 일러스트.webp
illustration,b69a8033a7f6e72cf78bd38d.webp,(아셀루스 협회) 트리쉬 일러스트.webp
illustration,fa6e97cafa29a7bcba73044f.webp,(오를랑 가문) 에핀델 일러스트.webp
